"datum","den_v_tydnu","velke_svatky","letni_prazdniny","valid_speed_count","fitted","predikce","forecast_14d"
2024-01-01,"1","1","0",13098,21058.4784516419,NA,NA
2024-01-02,"2","0","0",28397,33292.560253084,NA,NA
2024-01-03,"3","0","0",33732,32488.9701289644,NA,NA
2024-01-04,"4","0","0",33987,35472.549093356,NA,NA
2024-01-05,"5","0","0",36458,35011.3538382574,NA,NA
2024-01-06,"6","0","0",25288,27907.4846252838,NA,NA
2024-01-07,"7","0","0",20243,23360.1179903336,NA,NA
2024-01-08,"1","0","0",34104,35362.830575275,NA,NA
2024-01-09,"2","0","0",33630,34803.108129715,NA,NA
2024-01-10,"3","0","0",35143,34682.7115425891,NA,NA
2024-01-11,"4","0","0",36005,36724.9955998531,NA,NA
2024-01-12,"5","0","0",39044,36100.5436601011,NA,NA
2024-01-13,"6","0","0",27213,29110.8952289781,NA,NA
2024-01-14,"7","0","0",22261,24402.2879515636,NA,NA
2024-01-15,"1","0","0",36385,36373.5711499229,NA,NA
2024-01-16,"2","0","0",32849,35883.2316637052,NA,NA
2024-01-17,"3","0","0",34466,34844.4966806878,NA,NA
2024-01-18,"4","0","0",29023,36576.5405776696,NA,NA
2024-01-19,"5","0","0",34523,33892.2320782364,NA,NA
2024-01-20,"6","0","0",24191,26893.6501978406,NA,NA
2024-01-21,"7","0","0",20601,22643.9458303534,NA,NA
2024-01-22,"1","0","0",36479,35206.2720238564,NA,NA
2024-01-23,"2","0","0",35308,35477.108046625,NA,NA
2024-01-24,"3","0","0",34568,35451.3737404779,NA,NA
2024-01-25,"4","0","0",34649,36834.2061710737,NA,NA
2024-01-26,"5","0","0",37443,35723.1145376997,NA,NA
2024-01-27,"6","0","0",24550,28476.5232712542,NA,NA
2024-01-28,"7","0","0",19950,23344.6616469477,NA,NA
2024-01-29,"1","0","0",35789,35266.7202313377,NA,NA
2024-01-30,"2","0","0",33622,35286.8710988387,NA,NA
2024-01-31,"3","0","0",35090,34860.5668024936,NA,NA
2024-02-01,"4","0","0",35188,36774.9478399402,NA,NA
2024-02-02,"5","0","0",38747,35867.2325293906,NA,NA
2024-02-03,"6","0","0",25287,28932.3455896498,NA,NA
2024-02-04,"7","0","0",22095,23741.8308528919,NA,NA
2024-02-05,"1","0","0",36101,36076.1985614758,NA,NA
2024-02-06,"2","0","0",36738,35684.8118732395,NA,NA
2024-02-07,"3","0","0",36517,35969.7510737531,NA,NA
2024-02-08,"4","0","0",37772,37628.4259869373,NA,NA
2024-02-09,"5","0","0",39690,36982.1699342455,NA,NA
2024-02-10,"6","0","0",28591,29638.721582511,NA,NA
2024-02-11,"7","0","0",22046,25023.955861329,NA,NA
2024-02-12,"1","0","0",37546,36538.9996426652,NA,NA
2024-02-13,"2","0","0",37418,36302.9018543165,NA,NA
2024-02-14,"3","0","0",39696,36409.8288160556,NA,NA
2024-02-15,"4","0","0",38614,38772.7434996564,NA,NA
2024-02-16,"5","0","0",40113,37668.35289058,NA,NA
2024-02-17,"6","0","0",29211,30024.932183978,NA,NA
2024-02-18,"7","0","0",24997,25359.0991583847,NA,NA
2024-02-19,"1","0","0",37020,37573.8966871909,NA,NA
2024-02-20,"2","0","0",36621,36526.4608665773,NA,NA
2024-02-21,"3","0","0",37838,36247.3966448121,NA,NA
2024-02-22,"4","0","0",36434,38139.2627050192,NA,NA
2024-02-23,"5","0","0",39026,36759.997033956,NA,NA
2024-02-24,"6","0","0",30591,29351.1552922581,NA,NA
2024-02-25,"7","0","0",24509,25533.4874325117,NA,NA
2024-02-26,"1","0","0",36169,37488.419662708,NA,NA
2024-02-27,"2","0","0",38564,36232.1843513791,NA,NA
2024-02-28,"3","0","0",37877,36736.8504208654,NA,NA
2024-02-29,"4","0","0",39118,38333.7321612067,NA,NA
2024-03-01,"5","0","0",14823,37660.1257165016,NA,NA
2024-03-02,"6","0","0",28358,22223.4208037113,NA,NA
2024-03-03,"7","0","0",24311,22188.0621578606,NA,NA
2024-03-04,"1","0","0",32118,36180.3604394999,NA,NA
2024-03-05,"2","0","0",36570,34495.4370260675,NA,NA
2024-03-06,"3","0","0",37874,35474.6082242353,NA,NA
2024-03-07,"4","0","0",37836,37862.3076156348,NA,NA
2024-03-08,"5","0","0",40392,37089.084158965,NA,NA
2024-03-09,"6","0","0",29620,29895.0430320958,NA,NA
2024-03-10,"7","0","0",24538,25436.8026808603,NA,NA
2024-03-11,"1","0","0",38636,37461.3229855933,NA,NA
2024-03-12,"2","0","0",38751,36982.8101944072,NA,NA
2024-03-13,"3","0","0",39657,37074.3088916537,NA,NA
2024-03-14,"4","0","0",39797,39008.4016839302,NA,NA
2024-03-15,"5","0","0",42193,38120.9850631771,NA,NA
2024-03-16,"6","0","0",32872,30835.0408249273,NA,NA
2024-03-17,"7","0","0",27859,26789.9752099733,NA,NA
2024-03-18,"1","0","0",37407,38989.7828624164,NA,NA
2024-03-19,"2","0","0",39452,37173.5665934079,NA,NA
2024-03-20,"3","0","0",39582,37361.5740635102,NA,NA
2024-03-21,"4","0","0",39312,39092.3524170937,NA,NA
2024-03-22,"5","0","0",41134,38002.722621972,NA,NA
2024-03-23,"6","0","0",30380,30464.4045327789,NA,NA
2024-03-24,"7","0","0",26555,25883.3857971313,NA,NA
2024-03-25,"1","0","0",39820,38249.7501165084,NA,NA
2024-03-26,"2","0","0",39774,37641.7947765185,NA,NA
2024-03-27,"3","0","0",41476,37635.3978093213,NA,NA
2024-03-28,"4","0","0",41769,39778.4552939585,NA,NA
2024-03-29,"5","0","0",27885,39016.1092473496,NA,NA
2024-03-30,"6","0","0",30780,26756.6710612308,NA,NA
2024-03-31,"7","0","0",24723,24624.6763313999,NA,NA
2024-04-01,"1","1","0",20870,21678.6409331874,NA,NA
2024-04-02,"2","0","0",39096,36203.9027404659,NA,NA
2024-04-03,"3","0","0",39014,36890.3564271099,NA,NA
2024-04-04,"4","0","0",38803,38741.557598129,NA,NA
2024-04-05,"5","0","0",41648,37715.0085700714,NA,NA
2024-04-06,"6","0","0",33180,30515.6568725957,NA,NA
2024-04-07,"7","0","0",28266,26765.900301981,NA,NA
2024-04-08,"1","0","0",39694,39106.311812406,NA,NA
2024-04-09,"2","0","0",39733,37922.2237946856,NA,NA
2024-04-10,"3","0","0",39622,37727.2846406268,NA,NA
2024-04-11,"4","0","0",40580,39241.0050856578,NA,NA
2024-04-12,"5","0","0",41978,38449.134247535,NA,NA
2024-04-13,"6","0","0",35329,30891.0605187073,NA,NA
2024-04-14,"7","0","0",28692,27568.4989855898,NA,NA
2024-04-15,"1","0","0",38962,39536.841337284,NA,NA
2024-04-16,"2","0","0",37702,37856.9831184952,NA,NA
2024-04-17,"3","0","0",39056,37076.6854555367,NA,NA
2024-04-18,"4","0","0",28998,38823.962702994,NA,NA
2024-04-19,"5","0","0",21561,34722.2473128931,NA,NA
2024-04-20,"6","0","0",15520,23206.0647820105,NA,NA
2024-04-21,"7","0","0",13158,18595.6056867198,NA,NA
2024-04-22,"1","0","0",38005,31402.1279976206,NA,NA
2024-04-23,"2","0","0",38749,34529.6759113819,NA,NA
2024-04-24,"3","0","0",39468,36159.2889229441,NA,NA
2024-04-25,"4","0","0",38827,38609.0487525356,NA,NA
2024-04-26,"5","0","0",41956,37673.0166952637,NA,NA
2024-04-27,"6","0","0",31627,30594.9795723755,NA,NA
2024-04-28,"7","0","0",27122,26316.5834284744,NA,NA
2024-04-29,"1","0","0",40026,38586.0646574131,NA,NA
2024-04-30,"2","0","0",41154,37830.6779965341,NA,NA
2024-05-01,"3","0","0",27216,38131.3417409498,NA,NA
2024-05-02,"4","0","0",38755,35566.092825738,NA,NA
2024-05-03,"5","0","0",40902,36516.5560673923,NA,NA
2024-05-04,"6","0","0",34534,29838.8977922733,NA,NA
2024-05-05,"7","0","0",26396,26931.1595875349,NA,NA
