"","datum","valid_speed_count","den_v_tydnu","data_pm100","data_no2","data_hum1","data_pressure","data_windSpeed","data_windImpact","data_volumeMm","month","letni_prazdniny","topna_sezona","statni_svatky","prumerna_teplota_dne","velke_svatky"
"1",2024-01-01,13098,1,26.0521739130435,10.6039130434783,NA,NA,NA,NA,NA,"01/2024",0,1,1,NA,1
"2",2024-01-02,28397,2,13.7466666666667,19.8966666666667,NA,NA,NA,NA,NA,"01/2024",0,1,0,NA,0
"3",2024-01-03,33732,3,4.4375,7.73708333333333,82.701,95777.917,4.794,15.076,0,"01/2024",0,1,0,NA,0
"4",2024-01-04,33987,4,2.02333333333333,10.71375,81.7525,96430.1141666667,4.12666666666667,12.4420833333333,0.02625,"01/2024",0,1,0,7.085,0
"5",2024-01-05,36458,5,24.2179166666667,20.7341666666667,97.4495833333333,97796.1804166667,1.01291666666667,3.46333333333333,0.00375,"01/2024",0,1,0,3.3625,0
"6",2024-01-06,25288,6,38.5929166666667,17.9454166666667,95.0341666666667,97916.2154166667,1.71208333333333,5.94333333333333,0,"01/2024",0,1,0,3.9725,0
"7",2024-01-07,20243,7,8.90333333333333,8.37,79.84875,99646.0070833333,6.86958333333333,18.035,0,"01/2024",0,1,0,-1.915,0
"8",2024-01-08,34104,1,11.04125,10.4566666666667,72.235,101437.777916667,6.64666666666667,16.975,0,"01/2024",0,1,0,-6.1525,0
"9",2024-01-09,33630,2,32.9816666666667,30.735,77.21,102460.590416667,1.52791666666667,4.85333333333333,0,"01/2024",0,1,0,-8.0425,0
"10",2024-01-10,35143,3,45.1479166666667,34.4604166666667,80.9079166666667,102227.256666667,1.14583333333333,3.935,0,"01/2024",0,1,0,-6.615,0
"11",2024-01-11,36005,4,43.91625,29.2620833333333,85.27375,101688.4375,1.0525,3.785,0,"01/2024",0,1,0,-3.6575,0
"12",2024-01-12,39044,5,12.6054166666667,15.1095833333333,87.3995833333333,100747.569166667,1.61083333333333,5.75,0,"01/2024",0,1,0,0.1275,0
"13",2024-01-13,27213,6,5.76416666666667,11.1625,78.1020833333333,99335.79875,3.90541666666667,11.7266666666667,0,"01/2024",0,1,0,1.3675,0
"14",2024-01-14,22261,7,9.77166666666667,11.2366666666667,85.2229166666667,98127.7433333333,4.25791666666667,11.7016666666667,0,"01/2024",0,1,0,1.1625,0
"15",2024-01-15,36385,1,8.48416666666667,12.62125,79.1020833333333,97434.8608333333,5.3575,14.8333333333333,0,"01/2024",0,1,0,1.09,0
"16",2024-01-16,32849,2,6.03916666666667,13.3554166666667,78.7065217391304,98418.7682608696,2.79130434782609,9.11130434782609,0.0117391304347826,"01/2024",0,1,0,-0.4175,0
"17",2024-01-17,34466,3,28.49625,45.5216666666667,95.1258333333333,98448.1941666667,0.8625,3.29333333333333,0,"01/2024",0,1,0,-4.16,0
"18",2024-01-18,29023,4,19.6329166666667,24.9616666666667,95.6866666666667,97489.6179166667,1.25208333333333,4.195,0,"01/2024",0,1,0,-1.695,0
"19",2024-01-19,34523,5,13.00625,18.7725,85.70625,100193.88875,2.32083333333333,6.54833333333333,0.0195833333333333,"01/2024",0,1,0,-4.25,0
"20",2024-01-20,24191,6,11.19125,16.4408333333333,82.0375,101282.257083333,3.11625,8.53,0.00375,"01/2024",0,1,0,-4.0075,0
"21",2024-01-21,20601,7,41.8845833333333,42.8808333333333,88.1983333333333,102261.770833333,1.315,4.14333333333333,0,"01/2024",0,1,0,-8.6875,0
"22",2024-01-22,36479,1,74.4408333333333,64.90375,90.42875,100129.652916667,0.97125,3.79833333333333,0,"01/2024",0,1,0,-0.8625,0
"23",2024-01-23,35308,2,10.3475,14.4120833333333,81.854347826087,99321.9926086957,2.88434782608696,9.35478260869565,0.0908695652173913,"01/2024",0,1,0,5.0525,0
"24",2024-01-24,34568,3,5.05208333333333,7.63958333333333,77.27875,98050.2775,6.41375,18.5633333333333,0.0325,"01/2024",0,1,0,9.9825,0
"25",2024-01-25,34649,4,7.57666666666667,10.7020833333333,66.685,98732.8820833333,5.64291666666667,16.2033333333333,0,"01/2024",0,1,0,7.7725,0
"26",2024-01-26,37443,5,17.5454166666667,27.21875,84.87125,99292.04875,2.89833333333333,8.41166666666667,0.0425,"01/2024",0,1,0,5.695,0
