"","datum","typ_datumu","skutecne_hodnoty","fitted_hodnoty","predikovane_hodnoty","predikce_lower","predikce_upper"
"1",2024-01-01 01:00:00,"historie",14.81,NA,NA,NA,NA
"2",2024-01-01 02:00:00,"historie",19.34,NA,NA,NA,NA
"3",2024-01-01 03:00:00,"historie",18.22,NA,NA,NA,NA
"4",2024-01-01 04:00:00,"historie",15.49,NA,NA,NA,NA
"5",2024-01-01 05:00:00,"historie",15.35,NA,NA,NA,NA
"6",2024-01-01 06:00:00,"historie",16.89,NA,NA,NA,NA
"7",2024-01-01 07:00:00,"historie",12.14,NA,NA,NA,NA
"8",2024-01-01 08:00:00,"historie",13.3,NA,NA,NA,NA
"9",2024-01-01 09:00:00,"historie",11.66,NA,NA,NA,NA
"10",2024-01-01 10:00:00,"historie",11.74,NA,NA,NA,NA
"11",2024-01-01 11:00:00,"historie",11.48,NA,NA,NA,NA
"12",2024-01-01 12:00:00,"historie",4.04,NA,NA,NA,NA
"13",2024-01-01 13:00:00,"historie",3.6,NA,NA,NA,NA
"14",2024-01-01 14:00:00,"historie",4.41,12.3277887678355,NA,NA,NA
"15",2024-01-01 15:00:00,"historie",4.17,14.2426332709415,NA,NA,NA
"16",2024-01-01 16:00:00,"historie",5.02,18.7005779887328,NA,NA,NA
"17",2024-01-01 17:00:00,"historie",6.42,17.5380442337856,NA,NA,NA
"18",2024-01-01 18:00:00,"historie",9.72,16.1501892082797,NA,NA,NA
"19",2024-01-01 19:00:00,"historie",11.51,16.8175175563614,NA,NA,NA
"20",2024-01-01 20:00:00,"historie",9.13,17.6190774560423,NA,NA,NA
"21",2024-01-01 21:00:00,"historie",6.89,12.8871563564479,NA,NA,NA
"22",2024-01-01 22:00:00,"historie",9.09,14.6707490725434,NA,NA,NA
"23",2024-01-01 23:00:00,"historie",9.47,12.5758182503256,NA,NA,NA
"24",2024-01-02,"historie",9.73,13.076411707179,NA,NA,NA
"25",2024-01-02 01:00:00,"historie",10.04,11.6315012904007,NA,NA,NA
"26",2024-01-02 02:00:00,"historie",12,4.61203570845248,NA,NA,NA
"27",2024-01-02 03:00:00,"historie",14.4,5.14562307857404,NA,NA,NA
"28",2024-01-02 04:00:00,"historie",19.92,5.84700282293448,NA,NA,NA
"29",2024-01-02 05:00:00,"historie",29.14,5.39611364390632,NA,NA,NA
"30",2024-01-02 06:00:00,"historie",31.48,6.60754680932157,NA,NA,NA
"31",2024-01-02 07:00:00,"historie",32.53,8.19654665525575,NA,NA,NA
"32",2024-01-02 08:00:00,"historie",11.31,11.5610907736991,NA,NA,NA
"33",2024-01-02 09:00:00,"historie",9.31,12.1550709914258,NA,NA,NA
"34",2024-01-02 10:00:00,"historie",8.94,9.35550358742915,NA,NA,NA
"35",2024-01-02 11:00:00,"historie",8.21,7.62729911159246,NA,NA,NA
