"cas","ln_no2","fitted_no2","sezona","data_no2"
2024-01-01 03:00:00,2.90251989183181,NA,1,18.22
2024-01-01 04:00:00,2.74019465442878,NA,1,15.49
2024-01-01 05:00:00,2.73111547403321,NA,1,15.35
2024-01-01 06:00:00,2.82672173081971,NA,1,16.89
2024-01-01 07:00:00,2.49650578563135,NA,1,12.14
2024-01-01 08:00:00,2.58776403522771,NA,1,13.3
2024-01-01 09:00:00,2.45616418092235,NA,1,11.66
2024-01-01 10:00:00,2.46300181439995,NA,1,11.74
2024-01-01 11:00:00,2.44060639089142,NA,1,11.48
2024-01-01 12:00:00,1.39624469197306,NA,1,4.04
2024-01-01 13:00:00,1.28093384546206,NA,1,3.6
2024-01-01 14:00:00,1.48387468945875,NA,1,4.41
2024-01-01 15:00:00,1.42791603581071,NA,1,4.17
2024-01-01 16:00:00,1.61342993370364,NA,1,5.02
2024-01-01 17:00:00,1.85941811770187,NA,1,6.42
2024-01-01 18:00:00,2.27418561847235,NA,1,9.72
2024-01-01 19:00:00,2.44321622273379,NA,1,11.51
2024-01-01 20:00:00,2.21156569460688,NA,1,9.13
2024-01-01 21:00:00,1.93007108502557,NA,1,6.89
2024-01-01 22:00:00,2.20717490818939,NA,1,9.09
2024-01-01 23:00:00,2.24812890719799,NA,1,9.47
2024-01-02,2.27521389619791,NA,1,9.73
2024-01-02 01:00:00,2.30657711426358,NA,1,10.04
2024-01-02 02:00:00,2.484906649788,NA,1,12
2024-01-02 03:00:00,2.66722820658195,NA,1,14.4
2024-01-02 04:00:00,2.99172425215645,NA,1,19.92
2024-01-02 05:00:00,3.37211180076706,NA,1,29.14
2024-01-02 06:00:00,3.4493524235492,NA,1,31.48
2024-01-02 07:00:00,3.48216274048526,NA,1,32.53
2024-01-02 08:00:00,2.42568729012803,NA,1,11.31
2024-01-02 09:00:00,2.23108909128898,NA,1,9.31
2024-01-02 10:00:00,2.19053558918542,NA,1,8.94
2024-01-02 11:00:00,2.10535292346434,NA,1,8.21
2024-01-02 12:00:00,2.1621729392773,NA,1,8.69
2024-01-02 13:00:00,2.20055236742889,NA,1,9.03
2024-01-02 14:00:00,2.30856716467159,NA,1,10.06
2024-01-02 15:00:00,2.68512269645851,NA,1,14.66
2024-01-02 16:00:00,3.26193531432865,NA,1,26.1
2024-01-02 17:00:00,3.11573506594869,NA,1,22.55
2024-01-02 18:00:00,3.76560898697261,NA,1,43.19
2024-01-02 19:00:00,3.26001776819938,NA,1,26.05
2024-01-02 20:00:00,3.41575753299349,NA,1,30.44
2024-01-02 21:00:00,3.22843003767301,NA,1,25.24
2024-01-02 22:00:00,3.47289769582735,NA,1,32.23
2024-01-02 23:00:00,3.47413800606387,NA,1,32.27
2024-01-03,3.26308407953252,NA,1,26.13
2024-01-03 01:00:00,2.88424189752063,NA,1,17.89
2024-01-03 02:00:00,2.8160073426073,NA,1,16.71
2024-01-03 03:00:00,1.72988406550997,NA,1,5.64
2024-01-03 04:00:00,1.43983512804792,NA,1,4.22
2024-01-03 05:00:00,1.45161382724053,NA,1,4.27
2024-01-03 06:00:00,1.15057202759882,NA,1,3.16
2024-01-03 07:00:00,1.51732262352629,NA,1,4.56
2024-01-03 08:00:00,1.56234630490025,NA,1,4.77
2024-01-03 09:00:00,1.47247205736094,NA,1,4.36
2024-01-03 10:00:00,1.45861502269952,NA,1,4.3
2024-01-03 11:00:00,1.42791603581071,NA,1,4.17
2024-01-03 12:00:00,1.880990602956,NA,1,6.56
2024-01-03 13:00:00,1.69927861643389,NA,1,5.47
2024-01-03 14:00:00,2.02419306744936,2.69335685467241,1,7.57
2024-01-03 15:00:00,1.94591014905531,2.07004322453175,1,7
2024-01-03 16:00:00,2.08567209143047,2.46200201684038,1,8.05
2024-01-03 17:00:00,1.96009478404727,2.75399463887477,1,7.1
2024-01-03 18:00:00,1.95727390770563,2.55164705346406,1,7.08
2024-01-03 19:00:00,1.79342474854712,2.38301939931958,1,6.01
2024-01-03 20:00:00,1.91692261218206,2.42681747254772,1,6.8
2024-01-03 21:00:00,2.14241634084122,2.45187780557202,1,8.52
2024-01-03 22:00:00,2.16447179086441,2.29477200363544,1,8.71
2024-01-03 23:00:00,1.89311196348834,2.16827986145545,1,6.64
2024-01-04,2.11866225483312,2.12413128906675,1,8.32
2024-01-04 01:00:00,1.80664808172181,2.14093125090909,1,6.09
2024-01-04 02:00:00,1.88251383249652,2.13839756304486,1,6.57
2024-01-04 03:00:00,1.96009478404727,2.1466088232154,1,7.1
