"","datum","typ_datumu","skutecne_hodnoty","fitted_hodnoty","predikce","predikce_lower","predikce_upper"
"1",2024-01-01 01:00:00,"historie",51.27,NA,NA,NA,NA
"2",2024-01-01 02:00:00,"historie",50.97,NA,NA,NA,NA
"3",2024-01-01 03:00:00,"historie",51.95,NA,NA,NA,NA
"4",2024-01-01 04:00:00,"historie",53.28,NA,NA,NA,NA
"5",2024-01-01 05:00:00,"historie",48.05,NA,NA,NA,NA
"6",2024-01-01 06:00:00,"historie",50.5,NA,NA,NA,NA
"7",2024-01-01 07:00:00,"historie",49.72,NA,NA,NA,NA
"8",2024-01-01 08:00:00,"historie",47.77,NA,NA,NA,NA
"9",2024-01-01 09:00:00,"historie",41.28,NA,NA,NA,NA
"10",2024-01-01 10:00:00,"historie",41.36,NA,NA,NA,NA
"11",2024-01-01 11:00:00,"historie",44.58,NA,NA,NA,NA
"12",2024-01-01 12:00:00,"historie",9.87,NA,NA,NA,NA
"13",2024-01-01 13:00:00,"historie",5.08,NA,NA,NA,NA
"14",2024-01-01 14:00:00,"historie",6.53,NA,NA,NA,NA
"15",2024-01-01 15:00:00,"historie",5.55,NA,NA,NA,NA
"16",2024-01-01 16:00:00,"historie",6.08,NA,NA,NA,NA
"17",2024-01-01 17:00:00,"historie",5.31,NA,NA,NA,NA
"18",2024-01-01 18:00:00,"historie",5.64,NA,NA,NA,NA
"19",2024-01-01 19:00:00,"historie",4.45,NA,NA,NA,NA
"20",2024-01-01 20:00:00,"historie",5.46,NA,NA,NA,NA
"21",2024-01-01 21:00:00,"historie",4.44,NA,NA,NA,NA
"22",2024-01-01 22:00:00,"historie",3.59,NA,NA,NA,NA
"23",2024-01-01 23:00:00,"historie",6.47,NA,NA,NA,NA
"24",2024-01-02,"historie",6.92,NA,NA,NA,NA
"25",2024-01-02 01:00:00,"historie",10.3,NA,NA,NA,NA
"26",2024-01-02 02:00:00,"historie",7.51,NA,NA,NA,NA
"27",2024-01-02 03:00:00,"historie",11.3,NA,NA,NA,NA
"28",2024-01-02 04:00:00,"historie",12.97,NA,NA,NA,NA
"29",2024-01-02 05:00:00,"historie",13.53,NA,NA,NA,NA
"30",2024-01-02 06:00:00,"historie",16.87,NA,NA,NA,NA
"31",2024-01-02 07:00:00,"historie",18.92,NA,NA,NA,NA
"32",2024-01-02 08:00:00,"historie",11.77,NA,NA,NA,NA
"33",2024-01-02 09:00:00,"historie",4.4,NA,NA,NA,NA
"34",2024-01-02 10:00:00,"historie",4.05,NA,NA,NA,NA
"35",2024-01-02 11:00:00,"historie",1.74,NA,NA,NA,NA
"36",2024-01-02 12:00:00,"historie",2.15,NA,NA,NA,NA
"37",2024-01-02 13:00:00,"historie",1.82,NA,NA,NA,NA
"38",2024-01-02 14:00:00,"historie",2.53,NA,NA,NA,NA
"39",2024-01-02 15:00:00,"historie",4.4,NA,NA,NA,NA
"40",2024-01-02 16:00:00,"historie",8.33,NA,NA,NA,NA
"41",2024-01-02 17:00:00,"historie",18.28,NA,NA,NA,NA
"42",2024-01-02 18:00:00,"historie",22.49,NA,NA,NA,NA
"43",2024-01-02 19:00:00,"historie",19.95,NA,NA,NA,NA
"44",2024-01-02 20:00:00,"historie",27.61,NA,NA,NA,NA
"45",2024-01-02 21:00:00,"historie",32.44,NA,NA,NA,NA
"46",2024-01-02 22:00:00,"historie",34.87,NA,NA,NA,NA
"47",2024-01-02 23:00:00,"historie",34.77,NA,NA,NA,NA
