"","cas","data_temp1","mesic",".fitted","pred","lower","upper","pred_30"
"1",2024-01-01 01:00:00,NA,1,NA,NA,NA,NA,NA
"2",2024-01-01 02:00:00,NA,1,NA,NA,NA,NA,NA
"3",2024-01-01 03:00:00,NA,1,NA,NA,NA,NA,NA
"4",2024-01-01 04:00:00,NA,1,NA,NA,NA,NA,NA
"5",2024-01-01 05:00:00,NA,1,NA,NA,NA,NA,NA
"6",2024-01-01 06:00:00,NA,1,NA,NA,NA,NA,NA
"7",2024-01-01 07:00:00,NA,1,NA,NA,NA,NA,NA
"8",2024-01-01 08:00:00,NA,1,NA,NA,NA,NA,NA
"9",2024-01-01 09:00:00,NA,1,NA,NA,NA,NA,NA
"10",2024-01-01 10:00:00,NA,1,NA,NA,NA,NA,NA
"11",2024-01-01 11:00:00,NA,1,NA,NA,NA,NA,NA
"12",2024-01-01 12:00:00,NA,1,NA,NA,NA,NA,NA
"13",2024-01-01 13:00:00,NA,1,NA,NA,NA,NA,NA
"14",2024-01-01 14:00:00,NA,1,NA,NA,NA,NA,NA
"15",2024-01-01 15:00:00,NA,1,NA,NA,NA,NA,NA
"16",2024-01-01 16:00:00,NA,1,NA,NA,NA,NA,NA
"17",2024-01-01 17:00:00,NA,1,NA,NA,NA,NA,NA
"18",2024-01-01 18:00:00,NA,1,NA,NA,NA,NA,NA
"19",2024-01-01 19:00:00,NA,1,NA,NA,NA,NA,NA
"20",2024-01-01 20:00:00,NA,1,NA,NA,NA,NA,NA
"21",2024-01-01 21:00:00,NA,1,NA,NA,NA,NA,NA
"22",2024-01-01 22:00:00,NA,1,NA,NA,NA,NA,NA
"23",2024-01-01 23:00:00,NA,1,NA,NA,NA,NA,NA
"24",2024-01-02,NA,1,NA,NA,NA,NA,NA
"25",2024-01-02 01:00:00,NA,1,NA,NA,NA,NA,NA
"26",2024-01-02 02:00:00,NA,1,NA,NA,NA,NA,NA
"27",2024-01-02 03:00:00,NA,1,NA,NA,NA,NA,NA
"28",2024-01-02 04:00:00,NA,1,NA,NA,NA,NA,NA
"29",2024-01-02 05:00:00,NA,1,NA,NA,NA,NA,NA
"30",2024-01-02 06:00:00,NA,1,NA,NA,NA,NA,NA
"31",2024-01-02 07:00:00,NA,1,NA,NA,NA,NA,NA
"32",2024-01-02 08:00:00,NA,1,NA,NA,NA,NA,NA
"33",2024-01-02 09:00:00,NA,1,NA,NA,NA,NA,NA
"34",2024-01-02 10:00:00,NA,1,NA,NA,NA,NA,NA
"35",2024-01-02 11:00:00,NA,1,NA,NA,NA,NA,NA
"36",2024-01-02 12:00:00,NA,1,NA,NA,NA,NA,NA
"37",2024-01-02 13:00:00,NA,1,NA,NA,NA,NA,NA
"38",2024-01-02 14:00:00,NA,1,NA,NA,NA,NA,NA
"39",2024-01-02 15:00:00,NA,1,NA,NA,NA,NA,NA
"40",2024-01-02 16:00:00,NA,1,NA,NA,NA,NA,NA
"41",2024-01-02 17:00:00,NA,1,NA,NA,NA,NA,NA
"42",2024-01-02 18:00:00,NA,1,NA,NA,NA,NA,NA
"43",2024-01-02 19:00:00,NA,1,NA,NA,NA,NA,NA
"44",2024-01-02 20:00:00,NA,1,NA,NA,NA,NA,NA
"45",2024-01-02 21:00:00,NA,1,NA,NA,NA,NA,NA
"46",2024-01-02 22:00:00,NA,1,NA,NA,NA,NA,NA
"47",2024-01-02 23:00:00,NA,1,NA,NA,NA,NA,NA
"48",2024-01-03,NA,1,NA,NA,NA,NA,NA
"49",2024-01-03 01:00:00,NA,1,NA,NA,NA,NA,NA
"50",2024-01-03 02:00:00,NA,1,NA,NA,NA,NA,NA
"51",2024-01-03 03:00:00,NA,1,NA,NA,NA,NA,NA
"52",2024-01-03 04:00:00,NA,1,NA,NA,NA,NA,NA
"53",2024-01-03 05:00:00,NA,1,NA,NA,NA,NA,NA
"54",2024-01-03 06:00:00,NA,1,NA,NA,NA,NA,NA
"55",2024-01-03 07:00:00,NA,1,NA,NA,NA,NA,NA
"56",2024-01-03 08:00:00,NA,1,NA,NA,NA,NA,NA
"57",2024-01-03 09:00:00,NA,1,NA,NA,NA,NA,NA
"58",2024-01-03 10:00:00,NA,1,NA,NA,NA,NA,NA
"59",2024-01-03 11:00:00,NA,1,NA,NA,NA,NA,NA
"60",2024-01-03 12:00:00,NA,1,NA,NA,NA,NA,NA
"61",2024-01-03 13:00:00,NA,1,NA,NA,NA,NA,NA
"62",2024-01-03 14:00:00,11,1,9.81817319394462,NA,NA,NA,NA
"63",2024-01-03 15:00:00,10.68,1,10.5425349803728,NA,NA,NA,NA
"64",2024-01-03 16:00:00,9.88,1,9.78522415451649,NA,NA,NA,NA
"65",2024-01-03 17:00:00,9.12,1,8.64032636218173,NA,NA,NA,NA
"66",2024-01-03 18:00:00,9.5,1,7.82521004530184,NA,NA,NA,NA
"67",2024-01-03 19:00:00,8.9,1,8.48881182995563,NA,NA,NA,NA
"68",2024-01-03 20:00:00,8.28,1,7.75130653015357,NA,NA,NA,NA
"69",2024-01-03 21:00:00,8.32,1,7.3742387452806,NA,NA,NA,NA
"70",2024-01-03 22:00:00,8.75,1,7.723925113266,NA,NA,NA,NA
"71",2024-01-03 23:00:00,9.63,1,8.2925982550657,NA,NA,NA,NA
"72",2024-01-04,8.97,1,9.15997033947562,NA,NA,NA,NA
"73",2024-01-04 01:00:00,8.62,1,8.00621586641651,NA,NA,NA,NA
"74",2024-01-04 02:00:00,8.12,1,7.75801227105969,NA,NA,NA,NA
"75",2024-01-04 03:00:00,7.97,1,7.34280947987332,NA,NA,NA,NA
"76",2024-01-04 04:00:00,8.43,1,7.60753762310968,NA,NA,NA,NA
"77",2024-01-04 05:00:00,8.22,1,8.54809198309833,NA,NA,NA,NA
"78",2024-01-04 06:00:00,8.4,1,8.49151165972629,NA,NA,NA,NA
"79",2024-01-04 07:00:00,8.95,1,9.01338942095003,NA,NA,NA,NA
"80",2024-01-04 08:00:00,8.9,1,9.66866703098487,NA,NA,NA,NA
"81",2024-01-04 09:00:00,10.38,1,9.44405513287302,NA,NA,NA,NA
"82",2024-01-04 10:00:00,11.5,1,11.1785060679616,NA,NA,NA,NA
"83",2024-01-04 11:00:00,11.03,1,11.9399284074001,NA,NA,NA,NA
"84",2024-01-04 12:00:00,10.82,1,10.9546600763184,NA,NA,NA,NA
"85",2024-01-04 13:00:00,9.9,1,10.6798668026784,NA,NA,NA,NA
"86",2024-01-04 14:00:00,8.75,1,9.3837917074326,NA,NA,NA,NA
"87",2024-01-04 15:00:00,8.03,1,7.98397721170027,NA,NA,NA,NA
"88",2024-01-04 16:00:00,7.92,1,7.11600953343726,NA,NA,NA,NA
"89",2024-01-04 17:00:00,8.12,1,7.06709450675691,NA,NA,NA,NA
"90",2024-01-04 18:00:00,7.4,1,7.56394048477502,NA,NA,NA,NA
"91",2024-01-04 19:00:00,6.27,1,6.26139778980327,NA,NA,NA,NA
"92",2024-01-04 20:00:00,5.87,1,5.22664381809618,NA,NA,NA,NA
"93",2024-01-04 21:00:00,5.32,1,5.34036946768273,NA,NA,NA,NA
"94",2024-01-04 22:00:00,5.2,1,4.91368936073134,NA,NA,NA,NA
"95",2024-01-04 23:00:00,4.6,1,5.06559442635679,NA,NA,NA,NA
"96",2024-01-05,3.55,1,3.84714794644131,NA,NA,NA,NA
"97",2024-01-05 01:00:00,2.6,1,2.85805651467484,NA,NA,NA,NA
"98",2024-01-05 02:00:00,1.62,1,1.89385620038298,NA,NA,NA,NA
"99",2024-01-05 03:00:00,1.62,1,1.15395314118686,NA,NA,NA,NA
"100",2024-01-05 04:00:00,1.6,1,1.80007044404039,NA,NA,NA,NA
"101",2024-01-05 05:00:00,1.38,1,1.81276325665571,NA,NA,NA,NA
"102",2024-01-05 06:00:00,1.53,1,1.9627220022907,NA,NA,NA,NA
"103",2024-01-05 07:00:00,1.83,1,2.43752509280069,NA,NA,NA,NA
"104",2024-01-05 08:00:00,2.22,1,2.62354531151126,NA,NA,NA,NA
"105",2024-01-05 09:00:00,2.8,1,3.43923451060683,NA,NA,NA,NA
"106",2024-01-05 10:00:00,3.48,1,3.74696747624323,NA,NA,NA,NA
"107",2024-01-05 11:00:00,4.08,1,3.94584769979465,NA,NA,NA,NA
"108",2024-01-05 12:00:00,4.55,1,4.59531301483658,NA,NA,NA,NA
"109",2024-01-05 13:00:00,5.18,1,4.69908201818656,NA,NA,NA,NA
"110",2024-01-05 14:00:00,5.18,1,5.21637476575119,NA,NA,NA,NA
"111",2024-01-05 15:00:00,5.03,1,4.96317981471978,NA,NA,NA,NA
"112",2024-01-05 16:00:00,4.65,1,4.70085106535237,NA,NA,NA,NA
"113",2024-01-05 17:00:00,4.45,1,4.10570514036338,NA,NA,NA,NA
"114",2024-01-05 18:00:00,4.42,1,3.59124107800989,NA,NA,NA,NA
"115",2024-01-05 19:00:00,4.15,1,3.56660289236207,NA,NA,NA,NA
"116",2024-01-05 20:00:00,3.58,1,3.54720637113759,NA,NA,NA,NA
"117",2024-01-05 21:00:00,3.22,1,2.94031476623496,NA,NA,NA,NA
"118",2024-01-05 22:00:00,2.75,1,2.87226607032117,NA,NA,NA,NA
"119",2024-01-05 23:00:00,2.4,1,2.22918728031447,NA,NA,NA,NA
"120",2024-01-06,2,1,1.80130328974525,NA,NA,NA,NA
"121",2024-01-06 01:00:00,2.13,1,1.38675295832587,NA,NA,NA,NA
"122",2024-01-06 02:00:00,2.62,1,1.64432329829666,NA,NA,NA,NA
"123",2024-01-06 03:00:00,2.92,1,2.57499477423677,NA,NA,NA,NA
"124",2024-01-06 04:00:00,3.35,1,2.92808719940119,NA,NA,NA,NA
"125",2024-01-06 05:00:00,3.65,1,3.58971811181549,NA,NA,NA,NA
"126",2024-01-06 06:00:00,3.7,1,4.17238268173711,NA,NA,NA,NA
