"","hour","valid_speed_count"
"1",2024-01-01,178
"2",2024-01-01,152
"3",2024-01-01,90
"4",2024-01-01,134
"5",2024-01-01,212
"6",2024-01-01,102
"7",2024-01-01,136
"8",2024-01-01,127
"9",2024-01-01,273
"10",2024-01-01,543
"11",2024-01-01,745
"12",2024-01-01,1018
"13",2024-01-01,1235
"14",2024-01-01,1409
"15",2024-01-01,1342
"16",2024-01-01,1413
"17",2024-01-01,1404
"18",2024-01-01,1040
"19",2024-01-01,584
"20",2024-01-01,415
"21",2024-01-01,229
"22",2024-01-01,178
"23",2024-01-01,139
"24",2024-01-01,92
"25",2024-01-02,53
"26",2024-01-02,76
"27",2024-01-02,124
"28",2024-01-02,390
"29",2024-01-02,1398
"30",2024-01-02,2008
"31",2024-01-02,2060
"32",2024-01-02,1764
"33",2024-01-02,1722
"34",2024-01-02,1747
"35",2024-01-02,1725
"36",2024-01-02,1526
"37",2024-01-02,1538
"38",2024-01-02,2119
"39",2024-01-02,2514
"40",2024-01-02,2166
"41",2024-01-02,1858
"42",2024-01-02,1347
"43",2024-01-02,930
"44",2024-01-02,532
"45",2024-01-02,311
"46",2024-01-02,264
"47",2024-01-02,133
"48",2024-01-02,96
"49",2024-01-03,77
"50",2024-01-03,81
"51",2024-01-03,95
"52",2024-01-03,393
"53",2024-01-03,1589
"54",2024-01-03,2153
"55",2024-01-03,2668
"56",2024-01-03,2347
"57",2024-01-03,2257
"58",2024-01-03,2097
"59",2024-01-03,2110
"60",2024-01-03,2118
"61",2024-01-03,2309
"62",2024-01-03,2518
"63",2024-01-03,2679
"64",2024-01-03,2342
"65",2024-01-03,2020
"66",2024-01-03,1464
"67",2024-01-03,876
"68",2024-01-03,637
"69",2024-01-03,385
"70",2024-01-03,306
"71",2024-01-03,115
"72",2024-01-03,91
"73",2024-01-04,96
"74",2024-01-04,73
"75",2024-01-04,132
"76",2024-01-04,398
"77",2024-01-04,1401
"78",2024-01-04,2112
"79",2024-01-04,2569
"80",2024-01-04,2481
"81",2024-01-04,2284
"82",2024-01-04,2304
"83",2024-01-04,2231
"84",2024-01-04,2287
"85",2024-01-04,2255
"86",2024-01-04,2548
"87",2024-01-04,2748
"88",2024-01-04,2392
"89",2024-01-04,1870
"90",2024-01-04,1395
"91",2024-01-04,963
"92",2024-01-04,570
"93",2024-01-04,367
"94",2024-01-04,277
"95",2024-01-04,143
"96",2024-01-04,103
"97",2024-01-05,78
"98",2024-01-05,63
"99",2024-01-05,104
"100",2024-01-05,341
"101",2024-01-05,1462
"102",2024-01-05,2193
"103",2024-01-05,2594
"104",2024-01-05,2469
"105",2024-01-05,2319
"106",2024-01-05,2282
"107",2024-01-05,2321
"108",2024-01-05,2378
"109",2024-01-05,2589
"110",2024-01-05,2883
"111",2024-01-05,2921
"112",2024-01-05,2522
"113",2024-01-05,2202
"114",2024-01-05,1768
"115",2024-01-05,1104
"116",2024-01-05,695
"117",2024-01-05,439
"118",2024-01-05,383
"119",2024-01-05,245
"120",2024-01-05,165
"121",2024-01-06,124
"122",2024-01-06,124
"123",2024-01-06,134
"124",2024-01-06,246
"125",2024-01-06,501
"126",2024-01-06,668
"127",2024-01-06,836
"128",2024-01-06,1086
"129",2024-01-06,1472
"130",2024-01-06,1721
"131",2024-01-06,1742
"132",2024-01-06,1896
"133",2024-01-06,2061
"134",2024-01-06,2137
"135",2024-01-06,2063
"136",2024-01-06,2080
"137",2024-01-06,1911
"138",2024-01-06,1584
"139",2024-01-06,1059
"140",2024-01-06,719
"141",2024-01-06,399
"142",2024-01-06,363
"143",2024-01-06,197
"144",2024-01-06,138
"145",2024-01-07,119
"146",2024-01-07,90
"147",2024-01-07,73
"148",2024-01-07,130
"149",2024-01-07,369
"150",2024-01-07,393
"151",2024-01-07,474
"152",2024-01-07,544
"153",2024-01-07,890
"154",2024-01-07,1163
"155",2024-01-07,1267
"156",2024-01-07,1522
"157",2024-01-07,1698
"158",2024-01-07,1826
"159",2024-01-07,1811
"160",2024-01-07,1934
"161",2024-01-07,1870
"162",2024-01-07,1468
"163",2024-01-07,1029
"164",2024-01-07,616
"165",2024-01-07,369
"166",2024-01-07,275
"167",2024-01-07,175
"168",2024-01-07,111
"169",2024-01-08,138
"170",2024-01-08,131
"171",2024-01-08,179
"172",2024-01-08,483
"173",2024-01-08,1640
"174",2024-01-08,2558
"175",2024-01-08,2716
"176",2024-01-08,2568
"177",2024-01-08,2477
"178",2024-01-08,2383
"179",2024-01-08,2233
"180",2024-01-08,1736
"181",2024-01-08,1794
"182",2024-01-08,2052
"183",2024-01-08,2619
"184",2024-01-08,2473
"185",2024-01-08,1998
"186",2024-01-08,1447
"187",2024-01-08,922
"188",2024-01-08,637
"189",2024-01-08,378
"190",2024-01-08,297
"191",2024-01-08,134
"192",2024-01-08,101
"193",2024-01-09,68
"194",2024-01-09,84
"195",2024-01-09,126
"196",2024-01-09,404
"197",2024-01-09,1556
"198",2024-01-09,2335
"199",2024-01-09,2526
"200",2024-01-09,2571
"201",2024-01-09,2286
"202",2024-01-09,2229
"203",2024-01-09,2201
"204",2024-01-09,1944
"205",2024-01-09,1824
"206",2024-01-09,2213
"207",2024-01-09,2648
"208",2024-01-09,2513
"209",2024-01-09,2054
"210",2024-01-09,1434
"211",2024-01-09,1030
"212",2024-01-09,587
"213",2024-01-09,406
"214",2024-01-09,325
"215",2024-01-09,165
"216",2024-01-09,95
"217",2024-01-10,68
"218",2024-01-10,87
"219",2024-01-10,151
"220",2024-01-10,416
"221",2024-01-10,1585
"222",2024-01-10,2367
"223",2024-01-10,2657
"224",2024-01-10,2639
"225",2024-01-10,2432
"226",2024-01-10,2389
"227",2024-01-10,2306
"228",2024-01-10,1995
"229",2024-01-10,1992
"230",2024-01-10,2275
"231",2024-01-10,2810
"232",2024-01-10,2533
"233",2024-01-10,2179
"234",2024-01-10,1623
"235",2024-01-10,1071
"236",2024-01-10,619
"237",2024-01-10,435
"238",2024-01-10,310
"239",2024-01-10,109
"240",2024-01-10,95
"241",2024-01-11,72
"242",2024-01-11,76
"243",2024-01-11,145
"244",2024-01-11,407
"245",2024-01-11,1491
"246",2024-01-11,2283
"247",2024-01-11,2632
"248",2024-01-11,2662
"249",2024-01-11,2368
"250",2024-01-11,2273
"251",2024-01-11,2328
"252",2024-01-11,2365
"253",2024-01-11,2202
"254",2024-01-11,2603
"255",2024-01-11,2812
"256",2024-01-11,2691
"257",2024-01-11,2047
"258",2024-01-11,1700
"259",2024-01-11,1091
"260",2024-01-11,691
"261",2024-01-11,447
"262",2024-01-11,395
"263",2024-01-11,129
"264",2024-01-11,103
"265",2024-01-12,94
"266",2024-01-12,102
"267",2024-01-12,132
"268",2024-01-12,392
"269",2024-01-12,1498
"270",2024-01-12,2301
"271",2024-01-12,2561
"272",2024-01-12,2438
"273",2024-01-12,2356
"274",2024-01-12,2391
"275",2024-01-12,2539
"276",2024-01-12,2629
"277",2024-01-12,2894
"278",2024-01-12,3012
"279",2024-01-12,3108
"280",2024-01-12,2858
"281",2024-01-12,2467
"282",2024-01-12,1784
"283",2024-01-12,1234
"284",2024-01-12,789
"285",2024-01-12,533
"286",2024-01-12,491
"287",2024-01-12,338
"288",2024-01-12,191
"289",2024-01-13,168
"290",2024-01-13,130
"291",2024-01-13,133
"292",2024-01-13,231
"293",2024-01-13,521
"294",2024-01-13,662
"295",2024-01-13,861
"296",2024-01-13,1178
"297",2024-01-13,1608
"298",2024-01-13,1912
"299",2024-01-13,1968
"300",2024-01-13,1987
"301",2024-01-13,2175
"302",2024-01-13,2347
"303",2024-01-13,2202
"304",2024-01-13,2054
"305",2024-01-13,2175
"306",2024-01-13,1625
"307",2024-01-13,1135
"308",2024-01-13,866
"309",2024-01-13,484
"310",2024-01-13,337
"311",2024-01-13,263
"312",2024-01-13,215
"313",2024-01-14,155
"314",2024-01-14,152
"315",2024-01-14,82
"316",2024-01-14,188
"317",2024-01-14,326
"318",2024-01-14,397
"319",2024-01-14,529
"320",2024-01-14,713
"321",2024-01-14,961
"322",2024-01-14,1272
"323",2024-01-14,1519
"324",2024-01-14,1616
"325",2024-01-14,1917
"326",2024-01-14,2053
"327",2024-01-14,2143
"328",2024-01-14,1976
"329",2024-01-14,2097
"330",2024-01-14,1477
"331",2024-01-14,989
"332",2024-01-14,689
"333",2024-01-14,362
"334",2024-01-14,284
"335",2024-01-14,149
"336",2024-01-14,113
"337",2024-01-15,100
"338",2024-01-15,143
"339",2024-01-15,201
"340",2024-01-15,551
"341",2024-01-15,1691
"342",2024-01-15,2525
"343",2024-01-15,2899
"344",2024-01-15,2644
"345",2024-01-15,2468
"346",2024-01-15,2316
"347",2024-01-15,2189
"348",2024-01-15,2470
"349",2024-01-15,2481
"350",2024-01-15,2776
"351",2024-01-15,2876
"352",2024-01-15,2586
"353",2024-01-15,2068
"354",2024-01-15,1399
"355",2024-01-15,789
"356",2024-01-15,506
"357",2024-01-15,320
"358",2024-01-15,201
"359",2024-01-15,73
"360",2024-01-15,55
"361",2024-01-16,47
"362",2024-01-16,59
"363",2024-01-16,110
"364",2024-01-16,264
"365",2024-01-16,895
"366",2024-01-16,1598
"367",2024-01-16,1619
"368",2024-01-16,2020
"369",2024-01-16,2612
"370",2024-01-16,2333
"371",2024-01-16,2300
"372",2024-01-16,2301
"373",2024-01-16,2383
"374",2024-01-16,2629
"375",2024-01-16,2808
"376",2024-01-16,2620
"377",2024-01-16,2122
"378",2024-01-16,1546
"379",2024-01-16,990
"380",2024-01-16,671
"381",2024-01-16,382
"382",2024-01-16,312
"383",2024-01-16,173
"384",2024-01-16,93
"385",2024-01-17,59
"386",2024-01-17,110
"387",2024-01-17,143
"388",2024-01-17,366
"389",2024-01-17,1545
"390",2024-01-17,2426
"391",2024-01-17,2666
"392",2024-01-17,2653
"393",2024-01-17,2552
"394",2024-01-17,2449
"395",2024-01-17,2396
"396",2024-01-17,2520
"397",2024-01-17,2549
"398",2024-01-17,2604
"399",2024-01-17,2512
"400",2024-01-17,1989
"401",2024-01-17,1561
"402",2024-01-17,1247
"403",2024-01-17,765
"404",2024-01-17,563
"405",2024-01-17,311
"406",2024-01-17,289
"407",2024-01-17,98
"408",2024-01-17,80
"409",2024-01-18,59
"410",2024-01-18,61
"411",2024-01-18,115
"412",2024-01-18,315
"413",2024-01-18,1124
"414",2024-01-18,1894
"415",2024-01-18,2234
"416",2024-01-18,2435
"417",2024-01-18,2150
"418",2024-01-18,2014
"419",2024-01-18,1571
"420",2024-01-18,1908
"421",2024-01-18,1996
"422",2024-01-18,1842
"423",2024-01-18,2245
"424",2024-01-18,2063
"425",2024-01-18,1421
"426",2024-01-18,1197
"427",2024-01-18,889
"428",2024-01-18,643
"429",2024-01-18,352
"430",2024-01-18,283
"431",2024-01-18,132
"432",2024-01-18,87
"433",2024-01-19,58
"434",2024-01-19,84
"435",2024-01-19,133
"436",2024-01-19,285
"437",2024-01-19,1189
"438",2024-01-19,1846
"439",2024-01-19,2187
"440",2024-01-19,2240
"441",2024-01-19,2250
"442",2024-01-19,2153
"443",2024-01-19,2274
"444",2024-01-19,1956
"445",2024-01-19,2141
"446",2024-01-19,2776
"447",2024-01-19,2923
"448",2024-01-19,2739
"449",2024-01-19,2181
"450",2024-01-19,1678
"451",2024-01-19,1266
"452",2024-01-19,799
"453",2024-01-19,589
"454",2024-01-19,430
"455",2024-01-19,259
"456",2024-01-19,245
"457",2024-01-20,175
"458",2024-01-20,115
"459",2024-01-20,74
"460",2024-01-20,204
"461",2024-01-20,549
"462",2024-01-20,692
"463",2024-01-20,799
"464",2024-01-20,1359
"465",2024-01-20,1584
"466",2024-01-20,1755
"467",2024-01-20,1758
"468",2024-01-20,1502
"469",2024-01-20,1585
"470",2024-01-20,1629
"471",2024-01-20,1515
"472",2024-01-20,2085
"473",2024-01-20,2027
"474",2024-01-20,1592
"475",2024-01-20,1150
"476",2024-01-20,703
"477",2024-01-20,497
"478",2024-01-20,341
"479",2024-01-20,256
"480",2024-01-20,203
"481",2024-01-21,149
"482",2024-01-21,129
"483",2024-01-21,90
"484",2024-01-21,148
"485",2024-01-21,403
"486",2024-01-21,362
"487",2024-01-21,524
"488",2024-01-21,784
"489",2024-01-21,951
"490",2024-01-21,1297
"491",2024-01-21,1521
"492",2024-01-21,1556
"493",2024-01-21,1929
"494",2024-01-21,1920
"495",2024-01-21,1951
"496",2024-01-21,2010
"497",2024-01-21,1924
"498",2024-01-21,1420
"499",2024-01-21,237
"500",2024-01-21,346
"501",2024-01-21,381
"502",2024-01-21,246
"503",2024-01-21,120
"504",2024-01-21,99
"505",2024-01-22,113
"506",2024-01-22,151
"507",2024-01-22,177
"508",2024-01-22,594
"509",2024-01-22,1552
"510",2024-01-22,2455
"511",2024-01-22,2735
"512",2024-01-22,2637
"513",2024-01-22,2406
"514",2024-01-22,2397
"515",2024-01-22,2468
"516",2024-01-22,2367
"517",2024-01-22,2420
"518",2024-01-22,2811
"519",2024-01-22,2828
"520",2024-01-22,2562
"521",2024-01-22,1982
"522",2024-01-22,1411
"523",2024-01-22,911
"524",2024-01-22,567
"525",2024-01-22,388
"526",2024-01-22,307
