"hour","data_temp1","data_hum1","data_pressure","data_windSpeed","data_windImpact","data_volumeMm"
2024-01-03 13:00:00,11,77.5,95240,0.00216684,18.72,0
2024-01-03 14:00:00,10.675,79.4,95480,7.3172625,18.48,0
2024-01-03 15:00:00,9.875,82.875,95737.5,5.41112,17.04,0
2024-01-03 16:00:00,9.125,84.275,95902.5,3.7150525,10.8,0
2024-01-03 17:00:00,9.5,83.2,95880,5.3053075,15.12,0
2024-01-03 18:00:00,8.9,83.075,95890,6.3587275,16.44,0
2024-01-03 19:00:00,8.275,84.175,95990,5.5055225,13.8,0
2024-01-03 20:00:00,8.325,85.625,96012.5,4.5002525,11.16,0
2024-01-03 21:00:00,8.75,85.275,95890,5.0974775,14.64,0
2024-01-03 22:00:00,9.63333333333333,81.6,95756.6666666667,4.71390333333333,14.56,0
2024-01-03 23:00:00,8.975,85.075,95772.5,5.3747825,15.6,0.0875
2024-01-04,8.625,83.725,95890,4.2575,11.52,0
2024-01-04 01:00:00,8.125,85.55,95947.5,4.30561,12.72,0
2024-01-04 02:00:00,7.975,86.8,96032.5,4.1187875,9.96,0
2024-01-04 03:00:00,8.425,84.4,96010,3.5994275,10.56,0
2024-01-04 04:00:00,8.225,85.05,95997.5,3.3076725,10.08,0
2024-01-04 05:00:00,8.4,83.675,96032.5,4.9726925,13.2,0
2024-01-04 06:00:00,8.95,80.6,96035,5.2871675,15.48,0
2024-01-04 07:00:00,8.9,80.3,96085,4.41757,12.96,0
2024-01-04 08:00:00,10.375,73.525,96015,5.14005,14.16,0
2024-01-04 09:00:00,11.5,65.8333333333333,95810,6.44053333333333,17.12,0
2024-01-04 10:00:00,11.025,66.8,95785,6.5283825,18.48,0
2024-01-04 11:00:00,10.825,67.65,95872.5,6.1657075,20.52,0
2024-01-04 12:00:00,9.9,72.525,96020,6.886,20.76,0
2024-01-04 13:00:00,8.75,78.15,96337.5,5.53725,16.2,0
2024-01-04 14:00:00,8.025,82.625,96585,4.138915,13.8,0.0875
2024-01-04 15:00:00,7.925,82.25,96805,5.7337575,21,0
2024-01-04 16:00:00,8.125,79.8,96822.5,4.008725,12.96,0
2024-01-04 17:00:00,7.4,81.4,96960,2.73705,8.64,0.35
2024-01-04 18:00:00,6.27142857142857,86.1857142857143,97275.7142857143,2.4475,8.64,0
2024-01-04 19:00:00,5.86666666666667,88.2,97416.6666666667,0.685132333333333,3.04,0
2024-01-04 20:00:00,5.325,91.825,97522.5,0.73668175,2.76,0
2024-01-04 21:00:00,5.2,93.1,97610,0.712678,3.72,0
2024-01-04 22:00:00,4.6,97.0142857142857,97682.8571428571,1.46557857142857,4.73142857142857,0.1
2024-01-04 23:00:00,3.55,98.675,97827.5,1.169338,3.84,0
2024-01-05,2.6,99.9,98045,1.065796,4.2,0
2024-01-05 01:00:00,1.625,99.925,98155,1.342551,3.96,0
2024-01-05 02:00:00,1.625,99.55,98185,1.01809525,3.36,0
2024-01-05 03:00:00,1.6,99.3,98150,1.40716825,4.08,0
2024-01-05 04:00:00,1.375,99.275,98085,2.554816,5.28,0
2024-01-05 05:00:00,1.53333333333333,99.1,98113.3333333333,1.27676033333333,5.28,0
2024-01-05 06:00:00,1.83333333333333,98.8,98070,1.81137533333333,4,0
2024-01-05 07:00:00,2.225,98.625,98035,0.9639185,3.24,0
2024-01-05 08:00:00,2.8,97.8,97952.5,0.6255545,2.76,0
2024-01-05 09:00:00,3.475,96.225,97842.5,0.56985575,2.64,0
2024-01-05 10:00:00,4.075,94.35,97700,0.69197475,2.76,0
2024-01-05 11:00:00,4.55,93.85,97515,0.94132675,3.48,0.0875
2024-01-05 12:00:00,5.175,92.625,97375,0.65901175,2.88,0
2024-01-05 13:00:00,5.175,91.725,97325,1.220588,4.08,0
2024-01-05 14:00:00,5.03333333333333,93.7333333333333,97390,0.3838067,1.92,0
2024-01-05 15:00:00,4.65,96.075,97447.5,0.69092725,3,0
2024-01-05 16:00:00,4.45,97.025,97540,0.24562795,1.56,0
2024-01-05 17:00:00,4.425,97.25,97557.5,0.43901075,2.88,0
2024-01-05 18:00:00,4.15,98.35,97577.5,0.24095675,1.44,0
2024-01-05 19:00:00,3.575,99.075,97680,0.9905885,3.48,0
2024-01-05 20:00:00,3.225,99.075,97757.5,1.85968525,5.76,0
2024-01-05 21:00:00,2.75,99.125,97862.5,0.8664035,2.76,0
2024-01-05 22:00:00,2.4,99.3666666666667,97920,1.269656,4.48,0
2024-01-05 23:00:00,2,99.6,97985,0.265415,2.04,0
2024-01-06,2.13333333333333,99.6,97986.6666666667,1.16898533333333,4.48,0
2024-01-06 01:00:00,2.625,99.2,97935,0.4529305,1.68,0
2024-01-06 02:00:00,2.925,98.825,97867.5,0.5716365,2.76,0
2024-01-06 03:00:00,3.35,98.9,97807.5,0.30940425,1.56,0
2024-01-06 04:00:00,3.65,98.5,97742.5,0.16162,1.32,0
2024-01-06 05:00:00,3.7,98.575,97742.5,0.522991775,2.16,0
2024-01-06 06:00:00,3.825,98.4,97797.5,0.32070715,1.8,0
2024-01-06 07:00:00,4.05,96.725,97822.5,0.67985675,3.12,0
2024-01-06 08:00:00,4.425,95.525,97805,0.4915285,2.52,0
2024-01-06 09:00:00,4.63333333333333,95,97773.3333333333,0.683708,3.36,0
2024-01-06 10:00:00,4.775,94.175,97717.5,0.6094555,3,0
2024-01-06 11:00:00,5.3,92.775,97627.5,1.4058425,4.68,0
2024-01-06 12:00:00,5.525,92.55,97555,1.294114,4.2,0
