,cas,valid_speed_count,den_v_tydnu,data_pm100,data_no2,data_temp1,data_hum1,data_pressure,data_windSpeed,data_windImpact,data_volumeMm
1,01/01/2024 00:00,178,po,51.275,14.81083,,,,,,
2,01/01/2024 01:00,152,po,50.97435897,19.33637368,,,,,,
3,01/01/2024 02:00,90,po,51.94871795,18.215285,,,,,,
4,01/01/2024 03:00,134,po,53.28205128,15.49299474,,,,,,
5,01/01/2024 04:00,212,po,48.05,15.35317,,,,,,
6,01/01/2024 05:00,102,po,50.5,16.89411053,,,,,,
7,01/01/2024 06:00,136,po,49.71794872,12.137451,,,,,,
8,01/01/2024 07:00,127,po,47.76923077,13.30164211,,,,,,
9,01/01/2024 08:00,273,po,41.28205128,11.664706,,,,,,
10,01/01/2024 09:00,543,po,41.35897436,11.73746947,,,,,,
11,01/01/2024 10:00,745,po,44.57894737,11.48165,,,,,,
12,01/01/2024 11:00,1018,po,9.871794872,4.041812105,,,,,,
13,01/01/2024 12:00,1235,po,5.075,3.604588,,,,,,
14,01/01/2024 13:00,1409,po,6.526315789,4.408474211,,,,,,
15,01/01/2024 14:00,1342,po,5.55,4.174064,,,,,,
16,01/01/2024 15:00,1413,po,6.076923077,5.017058421,,,,,,
17,01/01/2024 16:00,1404,po,5.307692308,6.416828,,,,,,
18,01/01/2024 17:00,1040,po,5.641025641,9.719729474,,,,,,
19,01/01/2024 18:00,584,po,4.45,11.50699,,,,,,
20,01/01/2024 19:00,415,po,5.461538462,9.127129474,,,,,,
21,01/01/2024 20:00,229,po,4.435897436,6.885886,,,,,,
22,01/01/2024 21:00,178,po,3.58974359,9.087656842,,,,,,
23,01/01/2024 22:00,139,po,6.472222222,9.474086111,,,,,,
24,01/01/2024 23:00,92,po,6.921052632,9.726762105,,,,,,
25,02/01/2024 00:00,53,ut,10.3,10.0399525,,,,,,
26,02/01/2024 01:00,76,ut,7.512820513,12.00166526,,,,,,
27,02/01/2024 02:00,124,ut,11.3,14.3964,,,,,,
28,02/01/2024 03:00,390,ut,12.97368421,19.91932105,,,,,,
29,02/01/2024 04:00,1398,ut,13.525,29.138385,,,,,,
30,02/01/2024 05:00,2008,ut,16.87179487,31.48335263,,,,,,
31,02/01/2024 06:00,2060,ut,18.92105263,32.534275,,,,,,
32,02/01/2024 07:00,1764,ut,11.76923077,11.31184737,,,,,,
33,02/01/2024 08:00,1722,ut,4.4,9.311553,,,,,,
34,02/01/2024 09:00,1747,ut,4.051282051,8.939725263,,,,,,
35,02/01/2024 10:00,1725,ut,1.743589744,8.208439,,,,,,
36,02/01/2024 11:00,1526,ut,2.153846154,8.691645789,,,,,,
37,02/01/2024 12:00,1538,ut,1.825,9.025342,,,,,,
38,02/01/2024 13:00,2119,ut,2.526315789,10.06160526,,,,,,
39,02/01/2024 14:00,2514,ut,4.4,14.66043,,,,,,
40,02/01/2024 15:00,2166,ut,8.333333333,26.10268421,,,,,,
41,02/01/2024 16:00,1858,ut,18.28205128,22.552595,,,,,,
42,02/01/2024 17:00,1347,ut,22.48717949,43.19130526,,,,,,
43,02/01/2024 18:00,930,ut,19.95,26.050165,,,,,,
44,02/01/2024 19:00,532,ut,27.60526316,30.43965263,,,,,,
45,02/01/2024 20:00,311,ut,32.44444444,25.24,,,,,,
46,02/01/2024 21:00,264,ut,34.87179487,32.23454737,,,,,,
47,02/01/2024 22:00,133,ut,34.77142857,32.2715,,,,,,
48,02/01/2024 23:00,96,ut,29.69230769,26.12620737,,,,,,
49,03/01/2024 00:00,77,st,7.075,17.8928585,,,,,,
50,03/01/2024 01:00,81,st,16.44736842,16.70664947,,,,,,
51,03/01/2024 02:00,95,st,4,5.6351655,,,,,,
