"","X","cas","valid_speed_count","den_v_tydnu","data_pm100","data_no2","data_temp1","data_hum1","data_pressure","data_windSpeed","data_windImpact","data_volumeMm","month","tretina_dne","letni_prazdniny","topna_sezona","statni_svatky","datum","prumerna_teplota_dne"
"1",1,2024-01-01 01:00:00,178,1,51.27,14.81,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"2",2,2024-01-01 02:00:00,152,1,50.97,19.34,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"3",3,2024-01-01 03:00:00,90,1,51.95,18.22,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"4",4,2024-01-01 04:00:00,134,1,53.28,15.49,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"5",5,2024-01-01 05:00:00,212,1,48.05,15.35,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"6",6,2024-01-01 06:00:00,102,1,50.5,16.89,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"7",7,2024-01-01 07:00:00,136,1,49.72,12.14,NA,NA,NA,NA,NA,NA,"01/2024","1",0,1,1,2024-01-01,NA
"8",8,2024-01-01 08:00:00,127,1,47.77,13.3,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"9",9,2024-01-01 09:00:00,273,1,41.28,11.66,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"10",10,2024-01-01 10:00:00,543,1,41.36,11.74,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"11",11,2024-01-01 11:00:00,745,1,44.58,11.48,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"12",12,2024-01-01 12:00:00,1018,1,9.87,4.04,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"13",13,2024-01-01 13:00:00,1235,1,5.08,3.6,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"14",14,2024-01-01 14:00:00,1409,1,6.53,4.41,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"15",15,2024-01-01 15:00:00,1342,1,5.55,4.17,NA,NA,NA,NA,NA,NA,"01/2024","2",0,1,1,2024-01-01,NA
"16",16,2024-01-01 16:00:00,1413,1,6.08,5.02,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"17",17,2024-01-01 17:00:00,1404,1,5.31,6.42,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"18",18,2024-01-01 18:00:00,1040,1,5.64,9.72,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"19",19,2024-01-01 19:00:00,584,1,4.45,11.51,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"20",20,2024-01-01 20:00:00,415,1,5.46,9.13,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
"21",21,2024-01-01 21:00:00,229,1,4.44,6.89,NA,NA,NA,NA,NA,NA,"01/2024","3",0,1,1,2024-01-01,NA
