_time,country,sensor,type,speed
2024-10-02 23:59:51.865000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-02 23:59:48.858000+00:00,CZ,BI-MO-R1,4,60
2024-10-02 23:59:48.827000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-02 23:59:48.733000+00:00,CZ,BI-TP-R2,4,64
2024-10-02 23:59:48.658000+00:00,CZ,BI-MO-O1,0,-1
2024-10-02 23:59:48.638000+00:00,CZ,BI-TP-I2B,0,-1
2024-10-02 23:59:45.603000+00:00,CZ,BI-TP-I2,0,-1
2024-10-02 23:59:19.204000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-02 23:59:16.341000+00:00,CZ,BI-MO-I1,0,-1
2024-10-02 23:58:51.356000+00:00,CZ,BI-TP-O2B,0,-1
2024-10-02 23:58:48.649000+00:00,CZ,BI-TP-O2,0,65
2024-10-02 23:58:45.587000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-02 23:58:42.780000+00:00,CZ,BI-MO-R1,1,63
2024-10-02 23:58:42.735000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-02 23:58:42.689000+00:00,CZ,BI-MO-O1,0,62
2024-10-02 23:58:23.642000+00:00,CZ,BI-TP-O2B,0,-1
2024-10-02 23:58:20.253000+00:00,CZ,BI-TP-O2,0,61
2024-10-02 23:58:19.551000+00:00,CZ,BI-TP-R2,2,65
2024-10-02 23:58:19.420000+00:00,CZ,BI-TP-I2B,0,-1
2024-10-02 23:58:16.694000+00:00,CZ,BI-TP-I2,0,-1
2024-10-02 23:58:12.306000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-02 23:58:09.319000+00:00,CZ,BI-MO-I1,0,-1
2024-10-02 23:57:49.933000+00:00,CZ,BI-TP-R2,4,60
2024-10-02 23:57:49.808000+00:00,unknown,BI-TP-R2,4,59
2024-10-02 23:57:49.723000+00:00,CZ,BI-TP-I2B,0,-1
2024-10-02 23:57:49.413000+00:00,unknown,BI-TP-I2B,0,-1
2024-10-02 23:57:46.376000+00:00,CZ,BI-TP-I2,0,-1
2024-10-02 23:57:33.360000+00:00,CZ,BI-TP-O2B,0,-1
2024-10-02 23:57:30.529000+00:00,CZ,BI-TP-O2,0,62
2024-10-02 23:57:00.225000+00:00,CZ,BI-TP-R2,1,65
2024-10-02 23:57:00.061000+00:00,CZ,BI-TP-I2B,0,-1
2024-10-02 23:56:57.210000+00:00,CZ,BI-TP-I2,0,-1
2024-10-02 23:54:34.920000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-02 23:54:30.704000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-02 23:54:30.667000+00:00,CZ,BI-MO-R1,3,50
2024-10-02 23:54:30.659000+00:00,CZ,BI-MO-O1,0,-1
2024-10-02 23:54:00.202000+00:00,D,BI-TP-O2B,0,-1
2024-10-02 23:53:57.248000+00:00,D,BI-TP-O2,0,56
2024-10-02 23:53:56.122000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-02 23:53:52.205000+00:00,CZ,BI-MO-I1,0,-1
2024-10-02 23:53:37.322000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-02 23:53:35.289000+00:00,CZ,BI-MO-R1,2,78
