_time,country,sensor,type,speed
2024-10-06 23:58:31.529000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-06 23:58:28.615000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-06 23:58:28.571000+00:00,CZ,BI-MO-R1,2,69
2024-10-06 23:58:28.497000+00:00,CZ,BI-MO-O1,0,68
2024-10-06 23:58:05.241000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-06 23:58:02.577000+00:00,CZ,BI-MO-R1,1,69
2024-10-06 23:58:02.575000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-06 23:58:02.519000+00:00,CZ,BI-MO-O1,0,69
2024-10-06 23:58:00.822000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-06 23:57:58.074000+00:00,CZ,BI-MO-I1,0,-1
2024-10-06 23:57:35.216000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-06 23:57:32.530000+00:00,CZ,BI-MO-I1,0,-1
2024-10-06 23:57:01.440000+00:00,CZ,BI-TP-O2B,0,-1
2024-10-06 23:56:58.703000+00:00,CZ,BI-TP-O2,0,64
2024-10-06 23:56:29.396000+00:00,CZ,BI-TP-R2,2,60
2024-10-06 23:56:29.312000+00:00,CZ,BI-TP-I2B,0,-1
2024-10-06 23:56:26.249000+00:00,CZ,BI-TP-I2,0,-1
2024-10-06 23:56:24.305000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-06 23:56:21.019000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-06 23:56:20.976000+00:00,CZ,BI-MO-R1,5,64
2024-10-06 23:56:20.900000+00:00,CZ,BI-MO-O1,0,66
2024-10-06 23:56:20.585000+00:00,CZ,BI-MO-O1B,0,-1
2024-10-06 23:56:17.727000+00:00,CZ,BI-MO-R1,1,60
2024-10-06 23:56:17.671000+00:00,unknown,BI-MO-O1B,0,-1
2024-10-06 23:56:17.614000+00:00,CZ,BI-MO-O1,0,67
2024-10-06 23:55:52.606000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-06 23:55:49.238000+00:00,CZ,BI-MO-I1,0,-1
2024-10-06 23:55:49.196000+00:00,CZ,BI-MO-I1B,0,-1
2024-10-06 23:55:46.572000+00:00,CZ,BI-MO-I1,0,-1
