hour,total_temp,total_hum,total_pressure,total_windSpeed,total_windImpact,total_volume,total_pm,avg_no2,vehicle_count
01/08/2024,19.775,98.55,95905,2.084505,5.88,0.0875,1324,64.4048,285
01/08/2024 01:00,19.325,99.925,95920,1.19803275,3.48,0,1242,25.75152,437
01/08/2024 02:00,19.375,97.675,95962.5,1.060663,3.72,0,1118,14.63679684,1097
01/08/2024 03:00,22.525,86.775,95577.5,1.93090575,4.44,0,1089,10.77129053,4254
01/08/2024 04:00,26.425,70.95,94727.5,1.36374,4.44,0,949,3.473265263,6585
01/08/2024 05:00,28.5,61.3,94157.5,1.932375,4.8,0,1131,7.5731905,7218
01/08/2024 06:00,31.55,52.075,93840,1.987445,5.88,0,913,1.788000895,7281
01/08/2024 07:00,30.33333333,54.5,93776.66667,2.88443,8.16,0,881,0.83599995,7039
01/08/2024 08:00,31.525,50.075,93585,4.12184,11.52,0,761,1.034315842,6704
01/08/2024 09:00,30.575,52.025,93502.5,3.1263975,9.12,0,711,2.0809152,7472
01/08/2024 10:00,32.2,47.625,93347.5,4.25582,10.56,0,795,1.486992053,6773
01/08/2024 11:00,31.875,46.85,93257.5,3.2633275,9.72,0,765,2.2905839,7167
01/08/2024 12:00,30.95,48.775,93502.5,2.874265,6.96,0,612,3.723641579,8196
01/08/2024 13:00,30.75,49.85,93520,2.160955,6.84,0,675,5.58212,8132
01/08/2024 14:00,29.65,56.6,93747.5,1.30613725,3.84,0,626,15.51489789,7388
01/08/2024 15:00,27.45,67.65,94067.5,0.77641925,2.64,0,759,18.2650565,6584
01/08/2024 16:00,24.225,78.425,94590,5.7973725,19.44,0,692,36.14987368,5275
01/08/2024 17:00,21.125,95.15,95307.5,2.9524375,7.92,0.9625,754,94.71703,3837
01/08/2024 18:00,20.35,99.425,95487.5,1.03348525,3.72,0.6125,804,81.82129474,2910
01/08/2024 19:00,20.1,100,95546.66667,0.870914333,4.48,0.116666667,656,46.29849412,1433
01/08/2024 20:00,19.76666667,100,95610,0.858600333,3.84,0.233333333,627,22.68151579,1252
01/08/2024 21:00,19.85,100,95577.5,1.56693875,4.56,0.0875,762,15.388675,711
01/08/2024 22:00,19.875,100,95555,0.44906875,2.16,0,779,12.15380526,461
01/08/2024 23:00,19.725,100,95527.5,0.424936,2.28,0,885,9.799019,299
02/08/2024,19.675,100,95477.5,0.5056285,2.4,0,975,9.978186471,256
02/08/2024 01:00,19.8,100,95430,0.207252075,1.92,0,1056,8.4844485,470
02/08/2024 02:00,19.975,100,95370,0.780088775,3,0,1032,7.862329474,968
02/08/2024 03:00,21.25,94.975,95157.5,1.9776825,5.76,0,2081,5.3959915,4119
02/08/2024 04:00,20.975,96.25,95067.5,2.0195125,5.64,0,1978,9.042948421,6236
02/08/2024 05:00,21.675,93.6,95030,2.40542,6.12,0,1375,4.6554605,6628
02/08/2024 06:00,23.65,83.25,94612.5,4.1263525,9.96,0,907,3.272517895,6501
02/08/2024 07:00,23.3,86.2,94552.5,3.4541825,9.24,0.2625,683,3.667243,6917
02/08/2024 08:00,21,90.6,94970,4.395616667,13.76,0.466666667,422,7.716357368,7078
02/08/2024 09:00,19.375,85.375,95372.5,5.8085425,19.44,0,94,4.4229485,7261
02/08/2024 10:00,19.025,79.225,95575,8.539895,24.24,0,376,3.666193684,7668
02/08/2024 11:00,19.05,78.5,95630,6.7172175,18.84,0,464,3.7499515,7389
02/08/2024 12:00,18.35,83.225,95815,5.329225,18.6,0.2625,346,10.33666105,8457
02/08/2024 13:00,18.525,81.9,95887.5,3.5917025,10.8,0,748,6.0257505,8305
02/08/2024 14:00,19.125,78.275,95775,1.935085,7.32,0,682,6.025775789,8008
02/08/2024 15:00,18.225,88.2,95835,1.431646,4.8,0,786,16.1498575,6785
02/08/2024 16:00,17.525,91.975,95975,1.4999575,4.32,0,777,9.190405789,5786
02/08/2024 17:00,15.85,98.65,96315,1.730015,4.92,0,1433,13.376479,4224
02/08/2024 18:00,14.625,100,96575,1.22871,3.84,0,864,14.64662632,3106
02/08/2024 19:00,14.2,99.46666667,96723.33333,2.14228,5.6,0,772,11.90745412,1809
02/08/2024 20:00,13.95,99.375,96762.5,1.98871,4.92,0,979,8.904942105,1582
02/08/2024 21:00,13.5,99.625,96812.5,1.8240375,4.56,0,1202,8.497221,1202
02/08/2024 22:00,13.1,100,96877.5,0.802621,2.88,0,1574,8.736269474,685
02/08/2024 23:00,12.825,100,96885,0.901422,3.24,0,1117,10.802164,436
03/08/2024,13.7,100,96787.5,0.5288025,2.88,0,1063,11.22602684,364
03/08/2024 01:00,13.95,100,96702.5,0.63399825,2.16,0,1181,28.444755,398
03/08/2024 02:00,14.7,99.6,96625,0.649087,3,0,1325,15.05424737,681
03/08/2024 03:00,16.275,94.575,96475,0.2933265,1.68,0,1319,16.209351,1468
03/08/2024 04:00,18.2,89.475,96160,1.2512905,3.84,0,1495,7.897665263,2052
03/08/2024 05:00,20.6,81.36666667,95770,1.452426667,4.8,0,1470,4.468043158,2678
03/08/2024 06:00,21.45,76.925,95547.5,2.3809575,6.36,0.0875,1192,2.891682105,3983
03/08/2024 07:00,25.5,58.35,94842.5,3.1453775,8.28,0,963,1.3030287,5632
03/08/2024 08:00,27.15,53.5,94405,3.658475,9.36,0,834,1.193561895,6290
03/08/2024 09:00,29.025,49.7,94097.5,3.33983,8.64,0,1051,1.5292902,6377
03/08/2024 10:00,27.75,52.1,93942.5,2.60366,6.96,0,1106,2.345787895,6380
03/08/2024 11:00,28.025,51.5,93962.5,2.17002,6.96,0,1114,3.426252,6462
03/08/2024 12:00,28.8,49.95,93800,2.479225,8.4,0,1061,4.559728947,6766
03/08/2024 13:00,28.975,48.7,93740,3.7898775,10.68,0,952,4.199125,6273
03/08/2024 14:00,27.7,51.575,94027.5,4.3280875,11.76,0,897,3.85203,5947
03/08/2024 15:00,26.075,55.7,94482.5,3.06823,8.4,0,835,7.957685,6102
03/08/2024 16:00,21.45,78.3,95147.5,1.09671225,3.72,0,772,28.87476263,5635
03/08/2024 17:00,19.55,84.5,95727.5,1.24294525,3.48,0,903,32.172645,4415
03/08/2024 18:00,18.36666667,88.33333333,96000,1.403083333,4.32,0,752,28.80826842,3181
03/08/2024 19:00,17.5,90.925,96185,1.64376875,4.2,0,783,30.93306111,2394
03/08/2024 20:00,16.675,93.15,96322.5,2.8437325,5.64,0,814,25.90146316,1558
03/08/2024 21:00,16.375,94.025,96377.5,1.57984675,4.32,0,866,18.635835,1097
03/08/2024 22:00,16.025,95.95,96392.5,1.5461075,4.56,0,1239,16.01356316,619
03/08/2024 23:00,16.2,96.7,96380,0.91823825,4.08,0,1240,16.648675,487
04/08/2024,17,98.275,96297.5,2.5076575,7.8,3.5,1536,60.81873158,319
04/08/2024 01:00,16.925,100,96267.5,2.50157,6,1.05,1725,45.591455,255
04/08/2024 02:00,17.1,100,96250,1.414838,4.44,0,1054,15.93187,440
04/08/2024 03:00,17.8,99.275,96212.5,0.651120775,2.4,0,443,11.67847211,1031
04/08/2024 04:00,18.325,97.75,96057.5,1.0500815,3.96,0,326,8.63792,1272
04/08/2024 05:00,19.13333333,96.4,95910,2.37392,6.56,0,371,7.424240526,1358
04/08/2024 06:00,20.775,89.35,95720,2.921705,6.72,0,488,4.6774395,2362
04/08/2024 07:00,25.15,71.925,95030,3.5723175,9.36,0,772,2.060908421,3022
04/08/2024 08:00,24.725,69.325,94810,3.717095,10.44,0,941,2.146439,4269
04/08/2024 09:00,26.275,59.225,94555,4.748125,12.84,0.0875,487,0.972685211,5169
04/08/2024 10:00,26.675,56.525,94382.5,5.0801725,13.56,0,372,1.54448905,5379
04/08/2024 11:00,27.175,55.4,94137.5,4.39187,13.92,0,371,2.633367895,6168
04/08/2024 12:00,25.125,62.375,94537.5,3.691795,12,0,332,21.0103735,6168
04/08/2024 13:00,21.6,77.15,95217.5,3.45891,10.2,0.2625,443,37.58280684,6908
04/08/2024 14:00,19.85,89.5,95750,2.0421175,6.48,0.35,478,73.60179,6788
